holding_id,holding_name,application_year,scheme_code,hauptfruchtarten,leguminosen_anteil,bodenbedeckung_art,bedeckung_zeitraum_eingehalten,brache_ha,landschaftselemente,rgv_je_hektar,bluehmischung_art,flaeche_ha
BY-00101,"Müller Ökohof GmbH, München",2026,OER2,,18,,,,,,,
BY-00102,"Mayr Landwirtschaft KG, Augsburg",2026,OER2,Winterweizen; Wintergerste; Winterraps; Silomais,,,,,,,,
BY-00103,"Gruber Ackerbau GbR, Regensburg",2025,OER2,,,,,,,,,
BY-00104,"Bauer Feldwirtschaft eG, Rosenheim",2026,OER2,Winterweizen; Wintergerste; Silomais; Ackerbohnen; Hafer,22,,,,,,,
BY-00105,"Weber Agrarhof, Passau",2026,GLOEZ6,,,,ja,,,,,
BY-00106,"Schneider Hof GbR, Bamberg",2026,GLOEZ6,,,Zwischenfrucht aus Senf und Phacelia,,,,,,
BY-00107,"Huber Landwirtschaft, Würzburg",2025,GLOEZ6,,,,,,,,,
BY-00108,"Fuchs Biohof KG, München",2026,GLOEZ6,,,Wintergerste als Stoppelbrache,nein,,,,,
BY-00109,"Wagner Gemischtbetrieb, Augsburg",2026,GLOEZ8,,,,,,ja,,,
BY-00110,"Krüger Ackerbau eG, Regensburg",2025,GLOEZ8,,,,,3.2,,,,
BY-00111,"Lang Hofgut, Rosenheim",2026,GLOEZ8,,,,,,,,,
BY-00112,"Meier Landwirtschaft GmbH, Passau",2026,GLOEZ8,,,,,1.8,nein,,,
BY-00113,"Krauss Weidehof, Bamberg",2026,OER4,,,,,,,,,
BY-00114,"Böhm Alpwirtschaft GbR, Würzburg",2025,OER4,,,,,,,,,
BY-00115,"Hoffmann Grünlandbetrieb, München",2026,OER4,,,,,,,0.9,,
BY-00116,"Reiter Ökolandbau GbR, Passau",2026,OER2,Winterweizen; Winterroggen; Ackerbohnen; Silomais; Hafer,,,,,,,,
BY-00117,"Vogt Agrarhof, Bamberg",2026,GLOEZ6,,,,ja,,,,,
BY-00118,"Sailer Landwirtschaft eG, Regensburg",2025,GLOEZ8,,,,,2.1,,,,
BY-00119,"Brandt Weidehof, Rosenheim",2026,OER4,,,,,,,,,
BY-00120,"Hartmann Grünlandbetrieb GmbH, Augsburg",2026,OER4,,,,,,,1.3,,
BY-00121,"Kastner Blühwiesenhof, München",2026,OER1B,,,,,,,,,1.4
